machine	subject	start_time	end_time	stim	block	correct	latency	fluent	learning
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:00.251	2013-10-15 09:18:00.751000	ARE	block	1	0.1000	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:03.211	2013-10-15 09:18:03.471000	THEY	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:03.891	2013-10-15 09:18:04.091000	UP	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:05.761	2013-10-15 09:18:06.101000	YEAR	block	1	0.1900	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:06.151	2013-10-15 09:18:06.531000	AFTER	block	1	0.0500	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:12.211	2013-10-15 09:18:12.851000	DANA	block	0	\N	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:12.861	2013-10-15 09:18:13.261000	LOVES	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:13.271	2013-10-15 09:18:13.381000	THE(2)	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:14.201	2013-10-15 09:18:14.591000	SHE	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:14.941	2013-10-15 09:18:15.221000	GO	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:15.231	2013-10-15 09:18:15.631000	TO(3)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:15.641	2013-10-15 09:18:15.771000	THE	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:15.781	2013-10-15 09:18:16.231000	FLOWER	block	1	0.0100	2	2
